seconds	hex
6.652753	a5 01 00 21 01 00 00 0d 68 e6 00 00 01
7.258673	a5 01 00 21 01 00 00 0e 3d 55 0b 0b 03 05
7.514957	a5 01 00 21 02 00 00 0e f5 20 0b 0b 03 05
7.756029	a5 01 01 21 03 00 00 0e c5 4f 0b 0b ff ff
12.289978	a5 01 01 21 04 00 00 0e 02 57 0b 0b ff ff
12.532098	a5 01 01 23 00 05 00 0c 89 ef 80 0c
12.810382	a5 01 01 23 00 06 00 0c 67 3d 80 0c
13.095443	a5 01 01 23 00 07 00 0c cd 6c 80 0c
13.338854	a5 01 01 23 00
13.344351	08 00 0c a8 95 80 0c
13.585002	a5 01 01 23 00 09 00 0c 02 c4 80 0c
13.869473	a5 01 00 23 00 0a 00 12 bd 4e 80 12 00 01 00 00 00 00
14.107407	a5 01 00 23 00 0b 00 12 65 07 80 12 00 01 00 00
14.112703	00 00
14.352727	a5 01 01 23 00
14.358230	0c 00 0c 21 93 80 0c
14.598254	a5 01 01 23 00 0d 00 0c 8b c2 80 0c
14.839833	a5 01 01 23 00 0e 00 0c 65 10 80 0c
15.088540	a5 01 00 23 00 0f 00 12 34 40 80 12 00 01 00 00 00 00
15.326194	a5 01 01 23 00 10 00 0c ae e2 80 0c
15.749184	a5 01 01 23 00 11 00 0c 04 b3 80 0c
15.986220	a5 01 00 21 05 00 00 11 bf 03 15 15 6a 74 90 d3 fb
16.025414	a5 01 01 23 00 12 00 0c ea 61 80 0c
16.267282	a5 01 01 23 00 13 00 0c 40 30 80 0c
16.504613	a5 01
16.510541	01 23 00 14 00 0c 27 e4 80 0c
16.749397	a5 01 00 21 06 00 00 12 0c 7b 28 28 00 01 00 00 00 00
16.987475	a5 01 00 21 07 00 00 0d c9 c3 00 00 01
17.344261	a5 01 00 23 00 00 00 12 67 4b 80 0c 02 64 ff ff ff d2
17.580984	a5 01 01 23 00 16 00 0c 63 67 80 0c
