seconds	hex
7.606160	a5 01 00 21 01 00 00 0d 68 e6 00 00 01
8.016187	a5 01 01
8.021983	23 00 04 00 0c 23 be 80 0c
8.732252	a5 01 01 23 00 05 00 0c 89 ef 80 0c
9.093627	a5 01 01 23 00 06 00 0c 67 3d 80 0c
9.341082	a5 01 00 23 00 07 00 12 96 ce 80 12 00 01 00 00 00 00
9.581156	a5 01 01 21 01 00 00 0e 4a e9 0b 0b ff ff
9.823949	a5 01 00 23 00 08 00 12 1d fd 80 12 00 01 00 00 00 00
10.337970	a5 01 01 23 00 09 00 0c 02 c4 80 0c
10.937092	a5 01 01 23 00 0a 00 0c ec 16 80 0c
11.180267	a5 01 01 23 00 0b 00 0c 46 47 80 0c
16.581443	a5 01 00 21 02 00 00 12 01 af 28 28 00 01 00 00 00 00
17.100835	a5 01 00 21 03 00 00 0d 08 05 00 00 01
17.522012	a5 01 00 21 04
17.528090	00 00 0e 75 eb 0b 0b 03 05
17.762057	a5 01 00 21 05 00
17.767698	00 0e 32 38 0b 0b 03 05
18.112363	a5 01 00 21 06 00
18.118136	00 0d 71 a2 00 00 01
22.549912	a5 01 01 21 07 00 00 0e ca 22 0b 0b ff ff
22.792958	a5 01 01 23 00 0c 00 0c 21 93 80 0c
23.031912	a5 01 01 23 00 0d 00 0c 8b c2 80 0c
23.275248	a5 01 01 23 00 0e 00 0c 65 10 80 0c
23.511285	a5 01 01 23 00 0f 00
23.517110	0c cf 41 80 0c
23.759685	a5 01 01 23 00 10 00 0c ae e2 80 0c
23.999908	a5 01 01 23 00 11 00 0c 04 b3 80 0c
24.237219	a5 01 01 23 00 12 00 0c ea 61 80 0c
24.475988	a5 01 01 23 00 13
24.481502	00 0c 40 30 80 0c
24.719967	a5 01 00 21 08 00 00 11 54 e2 15 15 6a 74 8f e5 fb
24.760503	a5 01 01 23 00 14 00 0c 27 e4 80 0c
28.000733	a5 01
28.007077	00 23 00 00 00 11 46 9c 80 10 6a 74 8f ea fb
28.244544	a5 01 00 23 00 00 00 12 07 8d 80 0c 02 64 ff ff ff d4
