seconds	hex
0.000930	00
4.150859	fc
4.964889	a5 01 00
4.965088	21 00 00 00 0c 65 ce 11 11
5.164792	a5 01 01 21 01 00 00 42 2b
5.165872	44 0c 0c 00 01 00 00 02 00 00 0a 28
5.166214	00 03 00 00 09 06 00 05 00 00
5.172398	0c 00 00 0d 00 00 0e 08 00 11 08 00 12 01 00 df 00 00 c9 00 00 17 00 00 1e 01 02 27 00 00 00 4f 01 48 01
5.365946	a5 01 01 21 02 00 00 54 73 bd 0c 0c 00 22 00 00 25 01 00 27 00 00 2d 00 00
5.366571	35 00 00 38 00 00 5c 00 00 07 6c
5.366806	00 39 12 02 03 07 08 09 0b 15 17
5.372598	1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 13 00 00 72 00 00 00 00 00 73 01 00 74 06 00 95 00 00 00 00 00 15 00
5.568846	a5 01 01 21 03 00 00 3c f1 c7 0c 0c 00 a4 00 00 bd 00 00 00 00 00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
7.758891	a5 01 00 23 00 01 00 d3 fb 1f 80 00 01 70 6b 00 10 6e 6e 32 6f
7.759080	6f 61 61 63 73 77 7a 36 75 79 69
7.765231	30 70 73 00 10 6e 6e 32 6f 6f 61 61 63 73 77 7a 36 75 79 69 30 76 73 00 4b 7b 22 4d 43 55 22 3a 5b 22 41 43 4d 43 55 2f 56 39 2d 52 31 30 46 54 32 37 41 43 2d 46 56
7.765401	30 30 31 2e 30 30 31 2e 30 33
7.770963	30 22 5d 2c 22 53 4e 22 3a 22 31 31 31 32 30 31 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 22 7d 73 72 00 03 61 70 70 73 64 00 10 74 63 6c 5f 41 43 5f 74 2a 61 70 5f 73 7a 6b 74 70 77 00 20 62
7.776542	5c 66 79 68 44 42 6d 39 6b 66 5c 66 6f 43 56 62 24 45 56 53 42 2c 75 62 55 4c 56 6e 5f 35 46 6d 74 00 04 00 00 00 c8 6d 6c 00 04 00 00 ff ff
7.965199	a5
7.971200	01 01 21 04 00 00 42 5d 75 0c 0c 00 01 00 00 02 00 00 0a 28 00 03 00 00 09 06 00 05 00 00 0c 00 00 0d 00 00 0e 08 00 11 08 00 12 01 00 df 00 00 c9 00 00 17 00 00 1e 01 02 27 00 00 00 4f 01 48 01
8.169142	a5 01 01 21 05 00 00 54 94 16 0c 0c 00 22 00 00 25 01 00 27 00 00 2d 00 00 35 00 00 38 00 00 5c 00 00 07 6c 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22
8.175119	23 24 27 28 2a 31 00 5e 00 00 13 00 00 72 00 00 00 00 00 73 01 00 74 06 00 95 00 00 00 00 00 15 00
8.364148	a5
8.370373	01 01 21 06 00 00 3c 3c 7e 0c 0c 00 a4 00 00 bd 00 00 00 00 00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
8.565885	a5 01 00 21 07 00 00 0e 9d 6b 12 12 00 01
8.777617	a5 01 00 21 08 00 00 0e 44 a9 12 12 00 01
9.783478	a5 01 01 23 00 01 00 0c 70 0e 80 0b
9.982295	a5 01 01 21 09 00 00 42 e1 f0 0c 0c 00 01 00 00 02 00 00 0a 28 00 03 00 00 09 06 00 05 00 00 0c 00
9.987773	00 0d 00 00 0e 08 00 11 08 00 12 01 00 df 00 00 c9 02 00 17 00 00 1e 01 02 27 00 00 00 4f 01 48 01
10.182402	a5 01 01 21 0a 00 00 54 d7 f9 0c 0c 00 22 00 00 25 01 00 27 00 00 2d 00 00 35 00 00 38 00 00 5c 00 00 07 6c 00 39 12 02
10.182722	03
10.182843	07 08 09 0b 15 17 1c 1f 21 22
10.189047	23 24 27 28 2a 31 00 5e 00 00 13 00 00 72 00 00 00 00 00 73 01 00 74 06 00 95 00 00 00 00 00 15 00
10.382660	a5 01 01 21 0b 00 00 3c 52 7b 0c 0c 00 a4 00 00 bd 00 00 00 00 00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00
10.382839	06
10.382944	40 02 22 00 00 0c 1c 02 24 00 02 25
10.388546	00
16.761707	a5 01 00 23 00 02 00 0c cd 0e 80 28
17.161970	a5 01 00 23 00 03 00 d3 49 b7 80 00 01 70 6b 00 10 6e 6e 32 6f 6f 61 61 63 73 77 7a 36 75 79 69 30 70 73 00 10 6e 6e 32 6f 6f 61 61 63 73 77 7a 36
17.167476	75 79 69 30 76 73 00 4b 7b 22 4d 43 55 22 3a 5b 22 41 43 4d 43 55 2f 56 39 2d 52 31 30 46 54 32 37 41 43 2d 46 56 30 30 31 2e 30 30 31 2e 30 33 30 22 5d 2c 22 53 4e
17.173028	22 3a 22 31 31 31 32 30 31 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 58 22 7d 73 72 00 03 61 70 70 73 64 00 10 74 63 6c 5f 41 43 5f 74 2a 61 70 5f 73 7a 6b 74 70 77 00 20 62 5c 66 79 68 44 42
17.178725	6d 39 6b 66 5c 66 6f 43 56 62 24 45 56 53 42 2c 75 62 55 4c 56 6e 5f 35 46 6d 74 00 04 00 00 00 c8 6d 6c 00 04 00 00 ff ff
17.767579	a5 01 00 23 00 04 00 0c 14 8a 80 0b
17.967782	a5 01 00 23 00 05 00 0c be db 80 0b
18.164613	a5
18.164757	01 00 23
18.170183	00 06 00 d3 65 92 80 00 01 70 6b 00 10 6e 6e 32 6f 6f 61 61 63 73 77 7a 36 75 79 69 30 70 73 00 10 6e 6e 32 6f 6f 61 61 63 73 77 7a 36 75 79 69 30 76 73 00 4b 7b 22
18.176213	4d 43 55 22 3a 5b 22 41 43 4d 43 55 2f 56 39 2d 52 31 30 46 54 32 37 41 43 2d 46 56 30 30 31 2e 30 30 31 2e 30 33 30 22 5d 2c 22 53 4e 22 3a 22 31 31 31 32 30 31 58 58 58 58 58 58 58 58 58 58 58 58
18.181850	58 58 58 58 58 22 7d 73 72 00 03 61 70 70 73 64 00 10 74 63 6c 5f 41 43 5f 74 2a 61 70 5f 73 7a 6b 74 70 77 00 20 62 5c 66 79 68 44 42 6d 39 6b 66 5c 66 6f 43 56 62 24 45 56 53 42 2c 75 62 55 4c 56
18.187580	6e 5f 35 46 6d 74 00 04 00 00 00 c8 6d 6c 00 04 00 00 ff ff
18.378888	a5 01 01 21 0c 00 00 42 d7 a8 0c 0c 00 01 00 00 02 00 00 0a 28 00 03 00 00 09 06 00 05 00 00 0c 00 00 0d 00 00 0e 08 00 11 08 00 12 01 00 df 00 00 c9 00 00 17 00 00
18.384765	1e 01 02 27 00 00 00 4f 01 48 01
18.576012	a5 01 01 21 0d 00 00 54 db 7a 0c 0c 00 22 00 00 25 01
18.576930	00 27 00 00 2d 00 00 35 00 00 5c
18.577146	00 00 07 6c 00 39 12 02 03 07
18.583001	08 09 0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 13 00 00 72 00 00 00 00 00 73 01 00 74 06 00 95 00 00 00 00 00 15 00 00 a4 00
18.772847	a5
18.779013	01 01 21 0e 00 00 39 46 62 0c 0c 00 bd 00 00 00 00 00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
20.971077	a5 01 01 21 0f 00 00 42 0a 58 0c 0c 00 01 00 00 02 00 00 0a 28 00 03 00 00 09 06 00 05 00 00 0c 00 00 0d 00 00 0e 08 00 11 08 00 12 01 00 df 00 00 c9 00 00
20.976803	17 00 00 1e 01 02 27 00 00 00 4f 01 48 01
21.170521	a5 01 01 21 10 00 00 54 e9 2d 0c 0c 00 22 00 00 25 01 00 27 00 00 2d 00 00 35 00 00 5c 00 00 07 6c 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21
21.170685	22 23 24 27 28 2a 31 00 5e 00 00
21.177456	13 00 00 72 00 00 00 00 00 73 01 00 74 06 00 95 00 00 00 00 00 15 00 00 a4 00
21.366860	a5 01 01 21 11 00 00 39 8f 74 0c 0c 00 bd 00 00 00 00 00 be 00
21.372247	00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
22.762291	a5 01 01 23 00 07 00 0c bd 8b 80
22.767842	0b
22.963425	a5 01 01 21 12 00 00 42 b3 46 0c 0c 00 01 00 00 02 00 00 0a 28 00 03 00 00 09 06 00 05 00
22.969169	00 0c 00 00 0d 00 00 0e 08 00 11 08 00 12 01 00 df 00 00 c9 02 00 17 00 00 1e 01 02 27 00 00 00 4f 01 48 01
23.161384	a5 01 01 21 13 00 00 54 b7 8c 0c 0c 00
23.166833	22 00 00 25 01 00 27 00 00 2d 00 00 35 00 00 38 00 00 5c 00 00 07 6c 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 13 00 00 72 00 00 00 00 00 73 01 00 74 06 00 95 00 00 00
23.172679	00 00 15 00
23.364480	a5 01 01 21 14 00 00 3c 43 c8 0c 0c 00 a4 00 00 bd 00 00 00 00 00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c
23.369909	02 24 00 02 25 00
27.749974	a5 01 00 21 00 00 00 0c bf 78 26 26
27.948510	a5 01 00 21 00 00 00 0c 46 de 10 10
28.145857	a5 01 00 21 00 00 00 0c d3 7d 0c 0c
