seconds	hex
0.000795	a5 01 01 23 00 0c 00 0c 41 55 80 0a a5 01 01 21 2a 00 00 42 e8 31 0c 0c 00 02 00 00 0a 28 00 03 00 00 09 42 00 05 00 00 0c 00 00 0d 00 00 0e 08 00 11 08 00 12 04 00 df 00 00 c9 00 00 17 00 00 1e 01 02 27 00 00 00 4f 01 48 01 00 22 00 a5 01 01 21 2b 00 00 5d e1 cf 0c 0c 00 25 00 00 27 00 00 2d 00 00 35 00 00 5c 00 00 0b b8 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 60 00 00 08 34 00 64 00 00 02 1c 00 65 00 00 00 24 00 13 00 00 72 00 00 00 00 00 73 01 00 74 06 00 95 00 00 00 00 a5 01 01 21 2c 00 00 3f 98 2a 0c 0c 00 15 00 00 a4 00 00 bd 00 00 00 00 00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
2.205056	a5 01 01 23 00 0d 00 0c eb 04 80 0a
2.405121	a5 01 01 21 2d 00 00 18 0b bc 0c 0c 00 02 00 00 09 f6 02 27 00 00 00 4e
