seconds	hex
20.734063	43 56 62 24 45 56 53 42 2c 75 62 55 4c 56 6e 5f 35 46 6d 74 00 04 00 00 00 c8 6d 6c 00 04 00 00 ff ff
20.922674	a5 01 01 21 0c 00 00 42
20.929521	0d dd 0c 0c 00 01 00 00 02 00 00 0a 28 00 03 00 00 09 24 00 05 00 00 0c 00 00 0d 00 00 0e 08 00 11 08 00 12 01 00 df 00 00 c9 00 00 17 00 00 1e 01 02 27 00 00 00 4f 01 48 01
21.126307	a5 01 01 21 0d 00 00 54 d6 ce 0c 0c 00 22 00 00 25 01 00 27 00 00 2d 00 00 35 00 00 5c 00 00 07 d0 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22
21.126670	23 24 27 28 2a 31 00 5e 00 00 13
21.132335	00 00 72 00 00 00 00 00 73 01 00 74 06 00 95 00 00 00 00 00 15 00 00 a4 00
21.320602	a5
21.326606	01 01 21 0e 00 00 39 46 62 0c 0c 00 bd 00 00 00 00 00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
23.518234	a5 01 01 21 0f 00 00 42 d0 2d 0c 0c 00 01 00 00 02 00 00 0a 28 00 03 00 00 09 24 00 05 00 00 0c 00 00 0d 00 00 0e
23.518336	08 00 11 08 00 12 01 00 df 00 00
23.524638	c9 00 00 17 00 00 1e 01 02 27 00 00 00 4f 01 48 01
23.714313	a5
23.714483	01 01 21 10 00 00 54 e4 99 0c 0c
23.720078	00 22 00 00 25 01 00 27 00 00 2d 00 00 35 00 00 5c 00 00 07 d0 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 13 00 00 72 00 00 00 00
23.727201	00 73 01 00 74 06 00 95 00 00 00 00 00 15 00 00 a4 00
23.914015	a5 01 01 21 11 00 00
23.919770	39 8f 74 0c 0c 00 bd 00 00 00 00 00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
25.313893	a5 01 01 23 00 07 00 0c bd 8b 80 0b
25.508646	a5 01 01 21
25.514511	12 00 00 42 69 33 0c 0c 00 01 00 00 02 00 00 0a 28 00 03 00 00 09 24 00 05 00 00 0c 00 00 0d 00 00 0e 08 00 11 08 00 12 01 00 df 00 00 c9 02 00 17 00 00 1e 01 02 27 00 00 00 4f 01 48 01
25.709321	a5 01 01 21 13 00 00 54 79 9d 0c
25.709488	0c 00 22 00 00 25 01 00 27 00 00
25.715575	2d 00 00 35 00 00 38 00 00 5c 00 00 07 d0 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 13 00 00 72 00 00 00 00 00 73 01 00 74 06 00 95 00 00 00 00 00 15 00
25.907875	a5 01 01 21 14 00
25.913579	00 3c 43 c8 0c 0c 00 a4 00 00 bd 00 00 00 00 00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
