seconds	hex
10.166130	a5 01 00 21 01 00 00 0d 68 e6 00 00 01
10.546919	a5 01 01 23 00 04 00 0c 23 be 80 0c
11.431045	a5 01 01 23 00 05 00 0c 89 ef 80 0c
11.668472	a5 01 01 23 00 06 00 0c 67 3d 80 0c
11.918418	a5 01 00 23 00 07 00 12 96 ce 80 12 00 01 00 00 00 00
12.155053	a5 01 01 21 01 00 00 0e 4a e9 0b 0b ff ff
12.403615	a5 01 00 23 00 08 00 12 1d fd 80 12 00 01 00 00 00 00
12.879942	a5 01 01 23 00 09 00 0c 02 c4 80 0c
13.482646	a5 01 01 23 00 0a 00 0c ec 16 80 0c
13.719318	a5 01 01 23 00 0b 00 0c 46 47 80 0c
19.120845	a5 01 00 21 02 00 00 12 01 af 28 28 00 01 00 00 00 00
19.641967	a5 01 00 21 03 00 00 0d 08 05 00 00 01
20.072292	a5 01 00 21 04 00 00 0e 75 eb 0b 0b 03 05
20.309686	a5 01 00 21 05 00 00 0e 32
20.315545	38 0b 0b 03 05
20.652604	a5 01 00 21 06 00 00 0d
20.659260	71 a2 00 00 01
25.091383	a5 01
25.097258	01 21 07 00 00 0e ca 22 0b 0b ff ff
25.336154	a5 01 01 23 00 0c 00 0c 21 93 80 0c
25.576409	a5 01 01 23 00 0d 00 0c 8b c2 80 0c
25.812615	a5 01 01 23 00 0e 00 0c 65 10 80
25.818022	0c
26.056613	a5 01 01 23 00 0f 00 0c cf 41 80 0c
26.308976	a5 01 01 23 00 10 00 0c ae e2 80 0c
26.546878	a5 01 01 23 00 11 00 0c 04 b3
26.552718	80 0c
26.786645	a5 01 01 23 00 12 00 0c ea 61
26.792923	80 0c
27.030516	a5 01 01 23 00 13 00 0c 40 30 80 0c
27.269017	a5 01 00 21 08 00 00 11 51 06 15 15 6a 74 91 79 fb
27.308369	a5 01 01 23 00 14 00 0c 27 e4 80 0c
