seconds	hex
0.000673	a5 01 01 23 00 a0 00 0c e0 1a 80 0a a5 01 01 21 93 00 00 42 14 6a 0c 0c 00 02 00 00 08 98 00 03 00 00 09 2e 00 05 02 00 0c 00 00 0d 00 00 0e 09 00 11 0d 00 12 02 00 df 00 00 c9 00 00 17 00 00 1e 00 02 27 00 00 00 48 01 48 01 00 22 00 a5 01 01 21 94 00 00 5d 70 3d 0c 0c 00 25 00 00 27 00 00 2d 00 00 35 00 00 5c 00 00 09 60 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22 23 24 27 28 2a 31 00 5e 00 00 60 00 00 08 34 00 64 00 00 00 00 00 65 00 00 00 00 00 13 00 00 72 00 00 00 19 00 73 00 00 74 06 00 95 00 00 00 00 a5 01 01 21 95 00 00 3f 42 43 0c 0c 00 15 00 00 a4 00 00 bd 00 00 00 00 00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
3.644460	a5
3.644794	01 01 21 96 00 00
3.650774	12 ea ae 0c 0c 00 64 00 00 02 b2
9.228624	a5 01 01 21 97 00 00 12 a0 61 0c 0c 00 65
9.234390	00 00 00 11
