seconds	hex
0.001320	a5 01 01 21 78 00 00 12 3b ea 0c 0c 00 65 00 00 00 18
2.862079	a5 01 01 23 00 9c 00 0c 67 df 80 0a
3.058870	a5
3.064820	01 01 21 79 00 00 42 8f d7 0c 0c 00 02 00 00 0a 28 00 03 00 00 09 7e 00 05 04 00 0c 00 00 0d 00 00 0e 09 00 11 0d 00 12 03 00 df 00 00 c9 00 00 17 00 00 1e 00 02 27 00 00 00 4f 01
3.070505	48 01 00 22 00
3.262427	a5 01 01 21 7a 00 00 5d 28 63 0c 0c 00 25 00 00 27 00 00 2d 00 00 35 00 00 5c 00 00 09 c4 00 39 12 02 03 07 08 09 0b 15 17 1c 1f 21 22 23
3.268809	24 27 28 2a 31 00 5e 00 00 60 00 00 07 d0 00 64 00 00 02 b2 00 65 00 00 00 18 00 13 00 00 72 00 00 00 37 00 73 00 00 74 06 00 95 00 00 00 00
3.458257	a5 01 01 21 7b 00 00 3f b5
3.463965	4e 0c 0c 00 15 00 00 a4 00 00 bd 00 00 00 00 00 be 00 00 00 00 00 bf 00 00 00 00 00 c0 00 00 00 00 01 47 00 02 21 00 00 06 40 02 22 00 00 0c 1c 02 24 00 02 25 00
